date,CMIP3+5_c,CMIP3+5_2575,CMIP3+5_7525,CMIP3+5_1090,CMIP3+5_9010,CMIP3+5_ll,CMIP3+5_ur,CMIP3+5_c_2050,CMIP3+5_2575_2050,CMIP3+5_7525_2050,CMIP3+5_1090_2050,CMIP3+5_9010_2050,CMIP3+5_ll_2050,CMIP3+5_ur_2050,CMIP3+5_c_ratio,CMIP3+5_2575_ratio,CMIP3+5_7525_ratio,CMIP3+5_1090_ratio,CMIP3+5_9010_ratio,CMIP3+5_ll_ratio,CMIP3+5_ur_ratio,Basin,Variable,Period,Chart_Title
1949-01,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1503205258.743,1503956546.571,1503677317.932,1503530913.158,1504556131.358,1504166188.649,1504517255.450,1.001,1.001,1.001,1.001,1.002,1.001,1.002,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-02,532480118.103,532480118.103,532480118.103,532480118.103,532480118.103,532480118.103,532480118.103,534493591.443,535189768.456,534696750.327,534743555.355,535076667.591,535053313.875,536630107.810,1.004,1.005,1.004,1.004,1.005,1.005,1.008,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-03,446269262.763,446269262.763,446269262.763,446269262.763,446269262.763,446269262.763,446269262.763,465590106.122,475151389.894,466133154.324,467587405.862,470868411.108,470412898.074,496208328.130,1.043,1.065,1.045,1.048,1.055,1.054,1.112,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-04,538465829.344,538465829.344,538465829.344,538465829.344,538465829.344,538465829.344,538465829.344,636017401.229,727770181.115,631624474.265,699942605.077,646170060.288,632457381.237,841040717.054,1.181,1.352,1.173,1.300,1.200,1.175,1.562,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-05,949601492.157,949601492.157,949601492.157,949601492.157,949601492.157,949601492.157,949601492.157,1207085118.760,1365364231.027,1111728339.199,1439341695.588,1130298550.110,1010603007.393,1691364640.236,1.271,1.438,1.171,1.516,1.190,1.064,1.781,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-06,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1171023274.101,1221890055.423,975237096.574,1545271028.517,936160804.391,773275967.243,1703710347.064,0.883,0.921,0.735,1.165,0.706,0.583,1.285,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-07,859259839.086,859259839.086,859259839.086,859259839.086,859259839.086,859259839.086,859259839.086,563766767.313,605882093.454,478408022.964,761207339.200,447637297.959,395118412.869,774127877.066,0.656,0.705,0.557,0.886,0.521,0.460,0.901,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-08,396904545.349,396904545.349,396904545.349,396904545.349,396904545.349,396904545.349,396904545.349,311524196.489,334846500.817,287286384.256,370356068.525,275704596.250,259022745.530,374820708.757,0.785,0.844,0.724,0.933,0.695,0.653,0.944,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-09,286176244.094,286176244.094,286176244.094,286176244.094,286176244.094,286176244.094,286176244.094,250814005.797,262580293.614,235500378.061,275765417.352,230266169.079,222179326.765,278515229.019,0.876,0.918,0.823,0.964,0.805,0.776,0.973,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-10,288155865.766,288155865.766,288155865.766,288155865.766,288155865.766,288155865.766,288155865.766,264537387.201,275563365.953,241658957.302,288828314.191,238048824.222,222087677.543,302699916.254,0.918,0.956,0.839,1.002,0.826,0.771,1.050,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-11,273648364.056,273648364.056,273648364.056,273648364.056,273648364.056,273648364.056,273648364.056,249138917.462,262667599.218,224975987.243,277027961.798,216950864.344,201427826.953,294814273.954,0.910,0.960,0.822,1.012,0.793,0.736,1.077,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1949-12,260763170.215,260763170.215,260763170.215,260763170.215,260763170.215,260763170.215,260763170.215,241752700.348,254440483.079,218881295.728,267252080.290,212316423.422,196543760.295,283683601.106,0.927,0.976,0.839,1.025,0.814,0.754,1.088,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
1950-01,244393544.850,244393544.850,244393544.850,244393544.850,244393544.850,244393544.850,244393544.850,234029031.542,246633599.003,216166870.961,255726516.924,212229625.281,196464733.380,272241187.573,0.958,1.009,0.885,1.046,0.868,0.804,1.114,Basin_09163500,total_runoff,2050,Basin 09163500 2050 for total_runoff
