date,CMIP5_001_ratio,CMIP5_002_ratio,CMIP5_005_ratio,CMIP5_006_ratio,CMIP5_007_ratio,CMIP5_008_ratio,CMIP5_009_ratio,CMIP5_010_ratio,CMIP5_014_ratio,CMIP5_019_ratio,CMIP5_024_ratio,CMIP5_029_ratio,CMIP5_034_ratio,CMIP5_039_ratio,CMIP5_044_ratio,CMIP5_049_ratio,CMIP5_050_ratio,CMIP5_051_ratio,CMIP5_054_ratio,CMIP5_057_ratio,CMIP5_059_ratio,CMIP5_062_ratio,CMIP5_063_ratio,CMIP5_064_ratio,CMIP5_066_ratio,CMIP5_071_ratio,CMIP5_081_ratio,CMIP5_091_ratio,CMIP5_101_ratio,CMIP5_118_ratio,CMIP5_119_ratio,CMIP5_120_ratio,CMIP5_124_ratio,CMIP5_127_ratio,CMIP5_130_ratio,CMIP5_133_ratio,CMIP5_136_ratio,CMIP5_137_ratio,CMIP5_138_ratio,CMIP5_139_ratio,CMIP5_140_ratio,CMIP5_141_ratio,CMIP5_142_ratio,CMIP5_143_ratio,CMIP5_144_ratio,CMIP5_145_ratio,CMIP5_146_ratio,CMIP5_147_ratio,CMIP5_148_ratio,CMIP5_149_ratio,CMIP5_150_ratio,CMIP5_155_ratio,CMIP5_156_ratio,CMIP5_157_ratio,CMIP5_158_ratio,CMIP5_159_ratio,CMIP5_160_ratio,CMIP5_161_ratio,CMIP5_162_ratio,CMIP5_163_ratio,CMIP5_164_ratio,CMIP5_168_ratio,CMIP5_172_ratio,CMIP5_176_ratio,CMIP5_180_ratio,CMIP5_181_ratio,CMIP5_194_ratio,CMIP5_195_ratio,CMIP5_196_ratio,CMIP5_197_ratio,CMIP5_198_ratio,CMIP5_199_ratio,CMIP5_200_ratio,CMIP5_201_ratio,CMIP5_202_ratio,CMIP5_203_ratio,CMIP5_204_ratio,CMIP5_205_ratio,CMIP5_206_ratio,CMIP5_207_ratio,CMIP5_208_ratio,CMIP5_209_ratio,CMIP5_210_ratio,CMIP5_211_ratio,CMIP5_212_ratio,CMIP5_215_ratio,CMIP5_218_ratio,CMIP5_221_ratio,CMIP5_222_ratio,CMIP5_223_ratio,CMIP5_224_ratio,CMIP5_225_ratio,CMIP5_226_ratio,CMIP5_227_ratio,CMIP5_228_ratio,CMIP5_229_ratio,CMIP5_230_ratio,Basin,Variable,Period,Chart_Title
1949-01,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,Basin_09163500,CIR,2050,Basin 09163500 2050 for CIR
1949-02,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,Basin_09163500,CIR,2050,Basin 09163500 2050 for CIR
1949-03,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,Basin_09163500,CIR,2050,Basin 09163500 2050 for CIR
1949-04,0.996,1.111,0.987,0.986,0.985,1.036,1.028,1.077,0.993,0.996,0.899,1.000,0.988,1.012,0.958,0.973,1.039,0.992,1.020,1.099,1.048,0.878,1.024,1.051,1.026,1.059,1.025,1.023,1.027,1.090,1.051,1.075,0.952,0.983,1.024,1.002,0.978,0.952,0.975,0.980,1.141,1.090,1.051,1.075,1.013,1.001,0.989,1.018,1.022,1.014,0.994,1.069,0.914,0.993,0.996,1.031,0.986,0.943,1.082,1.060,1.126,1.141,1.127,1.132,1.040,0.996,1.018,1.030,1.048,1.079,0.970,1.035,0.759,0.803,0.822,0.696,0.700,0.688,0.733,0.661,0.755,0.670,0.738,0.682,1.045,1.067,1.055,1.086,1.032,1.019,1.050,1.052,1.145,1.058,1.041,1.108,1.119,Basin_09163500,CIR,2050,Basin 09163500 2050 for CIR
1949-05,0.969,0.900,1.156,0.905,0.893,1.005,1.348,0.902,0.774,0.731,0.794,1.084,1.048,0.992,1.135,0.870,1.056,0.733,0.987,0.792,0.822,0.823,1.026,0.982,1.027,1.240,1.177,0.944,1.044,0.889,0.875,0.890,1.215,1.132,1.084,1.040,0.648,0.656,0.629,0.531,0.927,0.889,0.875,0.890,0.923,1.011,1.105,0.748,0.999,1.142,0.930,0.966,0.800,0.827,0.963,0.992,0.915,1.095,0.886,0.817,1.035,1.058,1.091,0.999,1.030,0.939,0.953,1.083,0.996,1.271,0.984,0.853,0.589,0.661,0.658,0.862,0.787,0.805,0.816,0.698,0.611,0.657,0.710,0.833,1.067,0.985,1.007,0.901,0.788,0.932,0.967,0.945,0.856,1.122,0.981,1.129,1.169,Basin_09163500,CIR,2050,Basin 09163500 2050 for CIR
1949-06,1.226,1.382,1.274,0.964,1.110,1.181,1.247,1.067,0.840,0.982,1.101,1.288,1.166,1.182,1.267,0.901,1.219,0.795,1.099,0.940,0.792,0.770,0.867,1.037,1.341,1.498,1.639,1.224,1.602,1.258,0.966,1.093,1.261,1.120,1.013,1.091,1.083,1.094,1.030,1.191,1.107,1.258,0.966,1.093,0.998,1.204,1.158,0.886,0.970,1.119,1.130,0.909,0.985,1.017,1.117,1.102,0.970,1.257,0.960,0.953,1.246,1.262,1.122,1.231,0.817,1.007,1.067,1.542,1.232,1.810,0.957,0.915,0.787,0.975,0.924,1.277,0.761,0.873,0.813,0.751,0.749,0.884,0.904,1.100,0.895,0.895,0.919,0.881,0.985,1.000,0.897,1.024,0.951,1.434,1.058,1.474,1.347,Basin_09163500,CIR,2050,Basin 09163500 2050 for CIR
1949-07,1.332,1.576,1.266,1.043,1.134,1.274,1.202,1.041,0.932,0.900,0.983,1.279,1.233,1.183,1.268,0.997,1.124,0.901,1.075,1.014,0.933,1.024,0.956,1.137,1.318,1.307,1.453,1.213,1.483,1.255,1.049,1.148,1.063,1.021,0.976,0.946,1.158,1.167,1.174,1.278,1.120,1.255,1.049,1.148,0.954,1.094,1.088,0.887,1.149,1.185,1.303,1.077,1.153,1.025,1.301,1.352,1.181,1.427,1.130,1.151,1.383,1.320,1.245,1.435,0.993,1.158,1.203,1.372,1.283,1.523,1.033,1.067,0.900,0.984,1.027,1.290,0.966,1.092,1.045,0.982,0.968,1.005,1.059,1.208,1.021,1.037,1.060,1.019,1.105,1.170,0.959,1.076,0.979,1.302,1.053,1.311,1.217,Basin_09163500,CIR,2050,Basin 09163500 2050 for CIR
1949-08,1.313,1.467,1.264,1.079,1.179,1.239,1.190,1.127,0.993,1.007,1.066,1.216,1.227,1.195,1.253,1.054,1.128,1.054,1.102,1.039,1.033,1.100,1.030,1.131,1.243,1.241,1.308,1.221,1.345,1.172,1.050,1.116,1.069,1.029,1.041,1.017,1.231,1.233,1.218,1.269,1.064,1.172,1.050,1.116,0.970,1.081,1.078,0.966,1.107,1.200,1.267,1.160,1.221,1.156,1.298,1.344,1.264,1.377,1.164,1.236,1.304,1.336,1.260,1.390,1.061,1.216,1.159,1.300,1.231,1.404,1.055,1.105,0.979,0.989,1.104,1.223,1.055,1.140,1.100,1.128,1.076,1.090,1.154,1.230,1.063,1.117,1.143,1.070,1.178,1.213,1.009,1.079,1.093,1.199,1.121,1.227,1.207,Basin_09163500,CIR,2050,Basin 09163500 2050 for CIR
1949-09,1.416,1.522,1.350,1.081,1.243,1.249,1.201,1.205,0.991,0.983,1.055,1.121,1.236,1.269,1.301,1.179,1.191,1.073,1.223,1.043,1.067,1.187,1.199,1.228,1.230,1.324,1.378,1.234,1.418,1.080,1.038,1.089,1.111,1.109,1.108,1.033,1.362,1.420,1.424,1.513,0.956,1.080,1.038,1.089,1.015,1.167,1.220,1.107,1.070,1.049,1.292,1.276,1.236,1.163,1.374,1.538,1.418,1.401,1.213,1.273,1.460,1.384,1.291,1.583,1.216,1.273,1.273,1.436,1.446,1.512,1.209,1.224,1.049,1.015,1.099,1.154,1.150,1.301,1.203,1.277,1.032,1.017,1.108,1.190,1.114,1.112,1.197,1.113,1.114,1.298,0.965,1.073,1.119,1.331,1.255,1.363,1.295,Basin_09163500,CIR,2050,Basin 09163500 2050 for CIR
1949-10,1.707,1.981,1.387,1.234,1.268,1.339,1.257,1.327,1.076,1.107,1.084,1.151,1.294,1.324,1.349,1.217,1.143,1.154,1.300,1.057,1.176,1.197,1.309,1.278,1.181,1.392,1.463,1.250,1.452,1.111,1.067,1.092,1.127,1.110,1.099,1.069,1.281,1.479,1.467,1.541,0.990,1.111,1.067,1.092,1.066,1.164,1.275,1.280,1.125,1.107,1.278,1.253,1.227,1.135,1.596,1.758,1.398,1.523,1.508,1.603,1.686,1.581,1.415,2.096,1.161,1.331,1.260,1.494,1.576,1.840,1.243,1.267,1.125,1.210,1.141,1.248,1.103,1.243,1.124,1.206,1.037,1.038,1.193,1.313,1.366,1.268,1.395,1.156,1.142,1.337,1.041,1.176,1.305,1.402,1.253,1.370,1.289,Basin_09163500,CIR,2050,Basin 09163500 2050 for CIR
