date,CMIP5_001_ratio,CMIP5_002_ratio,CMIP5_005_ratio,CMIP5_006_ratio,CMIP5_007_ratio,CMIP5_008_ratio,CMIP5_009_ratio,CMIP5_010_ratio,CMIP5_014_ratio,CMIP5_019_ratio,CMIP5_024_ratio,CMIP5_029_ratio,CMIP5_034_ratio,CMIP5_039_ratio,CMIP5_044_ratio,CMIP5_049_ratio,CMIP5_050_ratio,CMIP5_051_ratio,CMIP5_054_ratio,CMIP5_057_ratio,CMIP5_059_ratio,CMIP5_062_ratio,CMIP5_063_ratio,CMIP5_064_ratio,CMIP5_066_ratio,CMIP5_071_ratio,CMIP5_081_ratio,CMIP5_091_ratio,CMIP5_101_ratio,CMIP5_118_ratio,CMIP5_119_ratio,CMIP5_120_ratio,CMIP5_124_ratio,CMIP5_127_ratio,CMIP5_130_ratio,CMIP5_133_ratio,CMIP5_136_ratio,CMIP5_137_ratio,CMIP5_138_ratio,CMIP5_139_ratio,CMIP5_140_ratio,CMIP5_141_ratio,CMIP5_142_ratio,CMIP5_143_ratio,CMIP5_144_ratio,CMIP5_145_ratio,CMIP5_146_ratio,CMIP5_147_ratio,CMIP5_148_ratio,CMIP5_149_ratio,CMIP5_150_ratio,CMIP5_155_ratio,CMIP5_156_ratio,CMIP5_157_ratio,CMIP5_158_ratio,CMIP5_159_ratio,CMIP5_160_ratio,CMIP5_161_ratio,CMIP5_162_ratio,CMIP5_163_ratio,CMIP5_164_ratio,CMIP5_168_ratio,CMIP5_172_ratio,CMIP5_176_ratio,CMIP5_180_ratio,CMIP5_181_ratio,CMIP5_194_ratio,CMIP5_195_ratio,CMIP5_196_ratio,CMIP5_197_ratio,CMIP5_198_ratio,CMIP5_199_ratio,CMIP5_200_ratio,CMIP5_201_ratio,CMIP5_202_ratio,CMIP5_203_ratio,CMIP5_204_ratio,CMIP5_205_ratio,CMIP5_206_ratio,CMIP5_207_ratio,CMIP5_208_ratio,CMIP5_209_ratio,CMIP5_210_ratio,CMIP5_211_ratio,CMIP5_212_ratio,CMIP5_215_ratio,CMIP5_218_ratio,CMIP5_221_ratio,CMIP5_222_ratio,CMIP5_223_ratio,CMIP5_224_ratio,CMIP5_225_ratio,CMIP5_226_ratio,CMIP5_227_ratio,CMIP5_228_ratio,CMIP5_229_ratio,CMIP5_230_ratio,Basin,Variable,Period,Chart_Title
1949-01,1.064,1.259,1.046,0.777,1.027,1.092,0.746,1.120,0.985,1.231,1.194,0.697,1.058,1.072,0.887,1.186,0.718,1.175,1.135,1.450,1.411,0.918,1.079,1.211,0.878,0.819,0.915,0.964,0.963,1.068,1.210,1.160,0.979,0.935,1.151,1.192,1.445,1.332,1.321,1.337,1.001,1.068,1.210,1.160,1.177,1.290,0.923,1.067,1.179,1.224,1.094,1.536,1.065,1.058,1.393,1.341,1.370,0.889,1.471,1.201,1.199,1.115,1.168,1.281,1.345,1.370,1.145,1.101,1.216,1.013,1.023,1.148,1.077,1.049,0.821,0.991,0.890,0.938,0.974,0.948,0.949,1.043,1.037,0.836,1.118,1.242,1.233,1.326,1.207,0.989,1.135,1.285,1.431,1.039,1.016,0.913,1.214,Basin_09163500,prec,2050,Basin 09163500 2050 for prec
1949-02,1.128,1.278,0.952,0.788,1.137,1.222,0.935,1.212,1.321,1.344,1.433,0.877,0.979,1.371,0.978,0.871,1.113,1.278,1.123,1.168,1.285,1.044,0.810,0.830,1.021,0.976,1.003,1.107,1.152,0.938,1.148,1.317,0.737,0.862,0.931,0.785,1.039,1.086,1.062,1.371,1.288,0.938,1.148,1.317,1.058,1.045,1.366,1.356,1.144,1.047,0.993,1.164,1.114,1.196,1.075,1.159,1.157,1.226,1.157,1.273,1.262,1.488,1.383,1.353,1.253,1.086,1.136,1.080,1.117,1.068,1.137,1.216,0.963,0.981,0.914,0.991,1.120,0.955,1.283,1.255,1.044,1.150,1.038,1.083,1.049,1.283,1.244,1.089,1.162,1.391,1.264,1.085,1.542,0.898,0.971,0.826,0.826,Basin_09163500,prec,2050,Basin 09163500 2050 for prec
1949-03,1.143,1.333,0.985,1.072,1.120,1.087,0.675,0.788,1.313,1.265,1.262,1.032,1.111,1.102,1.058,1.068,1.228,1.385,0.991,1.031,1.067,1.215,0.919,1.046,1.048,0.872,0.865,0.861,0.931,1.145,1.149,1.097,1.034,0.922,1.202,1.058,1.202,1.204,1.122,1.329,1.154,1.145,1.149,1.097,1.015,0.918,1.033,1.175,1.088,1.018,1.167,1.320,1.218,1.028,1.070,1.122,1.119,1.266,1.100,1.352,0.949,1.027,1.043,1.238,1.149,1.202,1.005,1.052,1.083,0.940,1.135,1.142,1.153,1.214,1.077,1.381,1.677,1.547,1.695,1.760,1.414,1.566,1.594,1.463,1.193,1.266,1.096,1.240,1.269,0.981,0.937,0.948,1.171,1.026,1.153,1.044,1.145,Basin_09163500,prec,2050,Basin 09163500 2050 for prec
1949-04,1.054,0.879,1.071,1.009,1.145,0.955,0.899,0.888,1.070,1.205,0.989,0.911,0.974,0.981,1.122,0.917,0.844,1.064,0.917,0.980,1.083,1.243,0.965,0.931,1.117,0.872,0.995,1.020,0.911,0.991,1.081,1.006,1.009,0.961,1.032,1.049,1.270,1.311,1.145,1.151,0.860,0.991,1.081,1.006,1.051,1.092,1.132,1.148,1.065,1.023,1.071,1.051,1.365,1.251,1.119,0.875,1.197,1.123,0.951,1.023,0.821,0.795,0.861,0.833,1.025,1.093,0.968,0.922,0.869,0.708,1.035,0.942,1.633,1.414,1.529,1.249,1.748,1.670,1.633,1.782,1.550,1.752,1.464,1.463,1.067,1.053,1.010,0.987,1.006,1.051,0.993,0.962,1.009,1.037,1.016,0.833,0.816,Basin_09163500,prec,2050,Basin 09163500 2050 for prec
1949-05,0.894,0.893,0.727,1.285,1.057,0.841,0.812,1.181,1.040,1.040,0.895,1.119,0.823,0.928,0.882,1.239,1.103,1.389,0.987,1.118,0.973,1.136,0.918,0.867,0.920,0.802,0.752,1.068,0.884,1.044,0.948,0.945,0.741,0.899,0.776,0.877,1.137,1.157,1.271,1.214,0.968,1.044,0.948,0.945,0.912,0.747,0.673,1.084,0.826,0.633,0.894,0.716,1.014,1.248,0.838,0.810,0.939,0.771,0.992,0.995,0.870,0.849,0.771,0.743,0.732,0.829,0.948,0.830,0.894,0.704,0.963,1.163,1.160,1.132,1.295,0.858,0.845,0.830,0.783,0.954,1.208,0.976,0.993,0.931,0.838,0.882,0.843,0.932,1.039,1.026,0.883,0.892,0.921,0.835,0.985,0.877,0.725,Basin_09163500,prec,2050,Basin 09163500 2050 for prec
1949-06,0.791,0.613,0.839,1.153,0.832,0.915,1.201,1.076,1.222,0.915,1.036,0.862,0.945,0.779,0.954,1.213,1.004,1.122,1.034,0.985,1.294,1.503,1.400,1.146,0.720,0.785,0.617,0.851,0.575,0.727,0.941,0.896,0.816,1.012,0.975,0.919,0.758,0.789,0.929,0.694,0.931,0.727,0.941,0.896,0.936,0.794,0.903,1.016,1.004,0.940,0.822,0.912,0.881,0.822,0.790,1.042,0.892,0.865,0.987,0.992,0.848,0.872,0.992,0.887,1.230,0.914,0.952,0.554,0.800,0.652,1.061,1.066,1.217,1.060,1.111,0.920,1.171,1.098,1.061,1.128,1.197,0.940,0.993,1.006,1.167,1.025,1.193,1.045,0.892,1.097,1.163,0.992,0.840,0.706,1.072,0.793,0.940,Basin_09163500,prec,2050,Basin 09163500 2050 for prec
1949-07,0.914,0.658,1.072,1.034,1.052,0.947,1.109,1.309,1.272,1.551,1.559,0.957,0.981,1.035,1.014,1.128,1.248,1.199,1.208,1.135,1.186,0.952,1.185,1.027,0.970,1.175,1.054,1.069,0.983,0.964,1.072,1.053,1.259,1.262,1.202,1.406,1.191,1.169,1.037,1.076,1.032,0.964,1.072,1.053,1.294,1.275,1.233,1.361,0.802,0.925,0.770,0.921,0.927,1.126,0.756,0.750,0.800,0.779,0.884,0.953,0.767,0.924,0.887,0.751,0.931,0.951,0.895,1.078,0.946,1.093,1.102,0.997,1.227,1.324,1.112,1.044,0.981,0.932,0.889,1.025,1.002,1.169,1.039,1.060,0.967,1.024,1.075,0.933,0.982,0.897,1.105,1.062,1.204,1.098,1.223,1.138,1.270,Basin_09163500,prec,2050,Basin 09163500 2050 for prec
1949-08,0.847,0.783,0.834,1.060,0.888,1.042,0.934,0.948,1.341,1.335,1.353,0.933,0.902,0.859,0.890,1.063,1.103,0.910,1.081,1.259,1.204,0.982,1.208,1.194,1.054,0.991,1.096,0.924,1.106,1.175,1.165,1.284,0.948,1.140,1.034,1.225,1.019,1.129,1.109,1.318,1.227,1.175,1.165,1.284,1.346,1.207,1.133,1.315,1.070,0.828,0.850,0.890,0.832,0.769,0.776,0.751,0.664,0.757,0.994,0.826,0.902,0.729,0.829,0.866,0.951,0.785,1.148,1.003,1.021,0.832,1.244,1.197,1.200,1.502,0.949,1.095,1.099,1.074,1.155,0.967,0.998,1.198,0.920,1.054,0.990,0.991,1.036,0.970,0.905,0.844,1.056,1.119,1.050,1.102,0.983,0.941,1.075,Basin_09163500,prec,2050,Basin 09163500 2050 for prec
1949-09,0.848,0.964,0.906,1.188,0.988,1.116,1.065,1.118,1.365,1.429,1.431,1.277,1.104,0.897,1.039,0.865,1.111,1.245,0.847,1.194,1.206,0.997,0.810,0.980,1.106,0.967,0.904,1.172,1.041,1.464,1.297,1.333,0.931,0.865,0.949,1.188,1.012,0.881,0.824,0.811,1.540,1.464,1.297,1.333,1.041,0.892,0.752,0.895,1.213,1.320,0.997,0.859,1.076,1.033,0.797,0.805,0.791,1.061,1.145,1.201,0.770,0.954,1.006,0.794,0.688,0.900,0.869,0.774,0.618,0.838,0.901,0.958,1.024,1.248,1.174,1.371,1.081,0.865,1.032,1.001,1.492,1.501,1.339,1.380,0.927,1.197,1.184,1.109,1.415,1.132,1.205,1.035,1.057,0.786,0.944,0.784,1.051,Basin_09163500,prec,2050,Basin 09163500 2050 for prec
1949-10,0.753,0.698,0.981,0.908,0.993,1.053,0.953,0.929,1.041,0.996,1.283,1.059,0.912,0.906,1.040,1.163,1.273,1.029,1.037,1.071,0.967,1.142,0.918,0.951,1.443,0.949,0.952,1.005,1.087,0.933,1.017,1.266,1.174,1.005,1.139,1.089,1.296,0.885,0.971,1.138,0.965,0.933,1.017,1.266,0.986,1.180,0.884,0.911,0.980,1.063,1.161,1.124,1.322,1.254,0.822,0.859,1.149,1.029,0.792,0.936,0.811,0.901,1.067,0.719,0.777,1.089,1.322,1.130,0.978,0.866,0.978,1.025,1.172,0.826,0.999,1.027,1.488,1.345,1.506,1.529,1.188,1.178,0.995,0.936,0.821,0.941,0.922,0.969,0.903,1.130,0.944,0.706,0.783,1.081,1.257,1.046,1.280,Basin_09163500,prec,2050,Basin 09163500 2050 for prec
