mu0	sigma0	mu1	sigma1	p00	p11
15.19588624	0.334705311	15.66765856	0.279934173	0.731706195	0.646122029
15.10611958	0.322880618	15.616725	0.242636152	0.741790195	0.580395363
15.11357356	0.326289929	15.58126132	0.270615582	0.708678875	0.682233415
15.12700037	0.307192948	15.61806519	0.24057494	0.776467585	0.673622853
15.30605862	0.329259038	15.76599855	0.249990583	0.734776946	0.6693589
15.20677844	0.325056522	15.69470037	0.241320104	0.745365108	0.649963945
14.86881862	0.302004528	15.35401844	0.238291561	0.735381051	0.666389178
15.15262495	0.313756393	15.65149782	0.224007165	0.754031445	0.624101105
15.36693753	0.309297183	15.85867418	0.208488593	0.754234029	0.611964635
15.4569337	0.324922147	15.91025446	0.228527429	0.704494094	0.63983884
15.3893656	0.324767826	15.87333471	0.211939492	0.730236683	0.62283362
15.07050915	0.305351529	15.58032739	0.224983056	0.755809493	0.633974829
15.08659197	0.310885098	15.57736545	0.235070607	0.731215017	0.638483528
15.25613052	0.322674268	15.7315466	0.249191621	0.746274251	0.642431737
15.1267117	0.324713611	15.58621188	0.249071408	0.727148953	0.659908617
15.25334896	0.325285378	15.73621541	0.255276926	0.736683634	0.669853395
15.18740893	0.298569262	15.71677553	0.206435283	0.768619371	0.633661228
15.40532953	0.317022087	15.89284863	0.224002102	0.745113924	0.611988383
15.21356746	0.321469808	15.68800784	0.254452492	0.730500158	0.666728694
15.36541906	0.32483158	15.86028224	0.225026923	0.742367861	0.640539908
15.33158422	0.330532801	15.81448905	0.225129849	0.724968059	0.639948745
15.20990419	0.315918634	15.71243988	0.231508691	0.760101725	0.652401415
15.06967553	0.313179677	15.56652736	0.255681955	0.732733018	0.657457627
15.07865817	0.319315931	15.57087823	0.23546964	0.743249758	0.633698332
15.22754598	0.30687953	15.72583397	0.216324828	0.752655795	0.654900447
14.91875342	0.300774873	15.41814416	0.226570716	0.76369147	0.647201032
14.86110901	0.297138994	15.35063214	0.230359718	0.757400526	0.66595921
15.04250352	0.305166793	15.54699713	0.232785948	0.767957464	0.660681134
15.04707969	0.315275792	15.53915477	0.225486516	0.750482948	0.648542467
15.2699838	0.32571625	15.75159186	0.239028478	0.745455957	0.650307182
15.33321694	0.322248522	15.81346524	0.227641065	0.721990704	0.644849099
15.36624097	0.332955602	15.84567654	0.234896	0.738057084	0.662108005
15.17452312	0.305956977	15.6498592	0.237501035	0.733400428	0.669984509
15.06176952	0.303790849	15.52850002	0.241858883	0.734707015	0.679762664
15.28216956	0.305633926	15.75512198	0.234663971	0.710877559	0.651784215
15.23958179	0.309890949	15.72627949	0.223098382	0.730422122	0.667483642
15.44556297	0.337395441	15.92496755	0.250793806	0.720849401	0.673085527
15.38726238	0.337652531	15.85635973	0.260827079	0.725491961	0.648325954
15.32803094	0.335755855	15.80352799	0.262151971	0.729020546	0.638006957
15.42491657	0.356747701	15.8701272	0.275956456	0.673417123	0.671988067
15.32688838	0.321315635	15.81368859	0.224254338	0.729080977	0.631334137
15.27757915	0.321810898	15.77026317	0.234069952	0.737315147	0.639774619
15.34794281	0.318488986	15.83616775	0.221559873	0.752075089	0.634421043
15.37396393	0.327880074	15.86812204	0.219613265	0.766030282	0.654008576
15.36269517	0.319594433	15.83946484	0.242872638	0.742803604	0.672392558
15.2843805	0.330200654	15.74208088	0.253358082	0.7102896	0.702377199
15.19233486	0.324993358	15.64770222	0.253396296	0.739561268	0.67690653
15.36552035	0.324153436	15.80892393	0.252299558	0.71736598	0.66623644
15.33854332	0.329345006	15.82146665	0.238166473	0.719069466	0.649246988
15.27282856	0.312228376	15.78472161	0.214710726	0.722172844	0.647497291
