Date,Level
10/1941,1211.25
11/1941,1205.6
12/1941,1195.8
01/1942,1184.8
02/1942,1176.75
03/1942,1171.25
04/1942,1182.9
05/1942,1195.5
06/1942,1213.15
07/1942,1213.2
08/1942,1210.4
09/1942,1205
10/1942,1199.25
11/1942,1194.05
12/1942,1188.4
01/1943,1182.45
02/1943,1179.6
03/1943,1177
04/1943,1180.6
05/1943,1188.75
06/1943,1199.4
07/1943,1201.55
08/1943,1199.65
09/1943,1195.7
10/1943,1189.9
11/1943,1184.5
12/1943,1178.35
01/1944,1170.9
02/1944,1164.2
03/1944,1158.4
04/1944,1158.1
05/1944,1173.2
06/1944,1194.85
07/1944,1199.55
08/1944,1193.9
09/1944,1187.1
10/1944,1180.6
11/1944,1174.55
12/1944,1168
01/1945,1161.25
02/1945,1155.75
03/1945,1149.6
04/1945,1147.4
05/1945,1161.3
06/1945,1174.55
07/1945,1180.7
08/1945,1177.95
09/1945,1177.95
10/1945,1173.6
11/1945,1168.95
12/1945,1163.35
01/1946,1157.55
02/1946,1151.65
03/1946,1147.45
04/1946,1148.2
05/1946,1155.15
06/1946,1163.95
07/1946,1163.3
08/1946,1161.25
09/1946,1157.65
10/1946,1153.9
11/1946,1151.65
12/1946,1148.55
01/1947,1142.6
02/1947,1133.1
03/1947,1135.38
04/1947,1134.49
05/1947,1151.93
06/1947,1169.64
07/1947,1177.18
08/1947,1180.13
09/1947,1178.02
10/1947,1177.88
11/1947,1175.24
12/1947,1170.58
01/1948,1164.52
02/1948,1158.8
03/1948,1154.51
04/1948,1158.77
05/1948,1175.95
06/1948,1192.15
07/1948,1190.32
08/1948,1186.95
09/1948,1180.82
10/1948,1175.89
11/1948,1170.91
12/1948,1164.85
01/1949,1158.04
02/1949,1150.99
03/1949,1147.17
04/1949,1148.28
05/1949,1164.51
06/1949,1189.07
07/1949,1196.61
08/1949,1193.17
09/1949,1186.86
10/1949,1181.19
11/1949,1176.93
12/1949,1170.06
01/1950,1163.4
02/1950,1156.7
03/1950,1151.75
04/1950,1152.13
05/1950,1158.57
06/1950,1173.95
07/1950,1177.15
08/1950,1173.36
09/1950,1168.77
10/1950,1164.43
11/1950,1160.19
12/1950,1156.62
01/1951,1151.47
02/1951,1168.02
03/1951,1144.07
04/1951,1141.34
05/1951,1146.16
06/1951,1163.53
07/1951,1168.19
08/1951,1167
09/1951,1163.75
10/1951,1160.42
11/1951,1157.25
12/1951,1153.12
01/1952,1149.06
02/1952,1143
03/1952,1133.99
04/1952,1141.96
05/1952,1171.53
06/1952,1198.06
07/1952,1199.88
08/1952,1195.74
09/1952,1190
10/1952,1183.13
11/1952,1176.39
12/1952,1169.1
01/1953,1162.56
02/1953,1157.12
03/1953,1152.42
04/1953,1148.4
05/1953,1147.33
06/1953,1165.11
07/1953,1165.87
08/1953,1163.38
09/1953,1157.67
10/1953,1152.99
11/1953,1150.06
12/1953,1145.78
01/1954,1141.44
02/1954,1138.22
03/1954,1134.08
04/1954,1130.26
05/1954,1130.76
06/1954,1129.88
07/1954,1126.25
08/1954,1120.82
09/1954,1115.39
10/1954,1112.9
11/1954,1109.74
12/1954,1105.4
01/1955,1100.77
02/1955,1096.14
03/1955,1092.85
04/1955,1089.72
05/1955,1095.9
06/1955,1105.91
07/1955,1103.65
08/1955,1102.78
09/1955,1098.5
10/1955,1095.11
11/1955,1092.63
12/1955,1090.99
01/1956,1089.2
02/1956,1087.06
03/1956,1083.57
04/1956,1083.81
05/1956,1098
06/1956,1116.62
07/1956,1114.58
08/1956,1110.66
09/1956,1105.76
10/1956,1102.05
11/1956,1099.14
12/1956,1097.02
01/1957,1095.05
02/1957,1094.32
03/1957,1092.24
04/1957,1091
05/1957,1109.31
06/1957,1150.81
07/1957,1176.08
08/1957,1182.34
09/1957,1182.52
10/1957,1182.5
11/1957,1181.61
12/1957,1177.39
01/1958,1170.95
02/1958,1168.56
03/1958,1163.64
04/1958,1164.61
05/1958,1185.52
06/1958,1205.43
07/1958,1203.39
08/1958,1198.97
09/1958,1195.57
10/1958,1192.45
11/1958,1189.59
12/1958,1185.85
01/1959,1182.31
02/1959,1182.03
03/1959,1176.6
04/1959,1172.83
05/1959,1172.59
06/1959,1179.84
07/1959,1179.27
08/1959,1175.65
09/1959,1171.13
10/1959,1169.35
11/1959,1168.85
12/1959,1167.28
01/1960,1165.09
02/1960,1163.78
03/1960,1164.26
04/1960,1169.94
05/1960,1175.09
06/1960,1183.71
07/1960,1181.32
08/1960,1175.25
09/1960,1170.36
10/1960,1168.47
11/1960,1167.46
12/1960,1165.12
01/1961,1162.67
02/1961,1160.75
03/1961,1156.19
04/1961,1153.56
05/1961,1154.45
06/1961,1161.19
07/1961,1157.62
08/1961,1154.05
09/1961,1153.74
10/1961,1155.15
11/1961,1155.22
12/1961,1154.64
01/1962,1153.56
02/1962,1156.51
03/1962,1154.69
04/1962,1165.75
05/1962,1185.56
06/1962,1198.17
07/1962,1203.98
08/1962,1200.87
09/1962,1197.64
10/1962,1196.65
11/1962,1195.05
12/1962,1193.12
01/1963,1190.98
02/1963,1189.67
03/1963,1185.07
04/1963,1179.06
05/1963,1172.43
06/1963,1167.16
07/1963,1160.27
08/1963,1153.88
09/1963,1149.04
10/1963,1144.99
11/1963,1141.5
12/1963,1136.93
01/1964,1131.74
02/1964,1128.4
03/1964,1123.85
04/1964,1123.41
05/1964,1119.32
06/1964,1112.47
07/1964,1103.84
08/1964,1098.58
09/1964,1093.49
10/1964,1090.12
11/1964,1089.02
12/1964,1088.14
01/1965,1089.83
02/1965,1090.63
03/1965,1088.31
04/1965,1094.57
05/1965,1110.08
06/1965,1125.69
07/1965,1124.33
