mu0	sigma0	mu1	sigma1	p00	p11
15.09804018	0.435994143	15.66096423	0.196407507	0.485811671	0.715461085
15.09849622	0.440136073	15.66812428	0.198877656	0.464291979	0.704190056
15.07440658	0.439076847	15.6508122	0.206263404	0.413361556	0.703246686
15.0687162	0.43456613	15.65097137	0.206910246	0.407437523	0.691492477
15.07068158	0.436838504	15.64120366	0.209313326	0.402437527	0.712168601
14.96647455	0.412105398	15.6229359	0.222085583	0.28659156	0.757771017
15.02116013	0.439324854	15.62572465	0.216552363	0.347608087	0.737492324
15.0192004	0.441276895	15.62331279	0.218431228	0.326237739	0.756323547
15.04479281	0.442801588	15.63817503	0.207067932	0.403273304	0.751221557
15.02861879	0.447490829	15.62381633	0.21480232	0.358289021	0.748903057
15.03410913	0.446805918	15.62075071	0.21600028	0.381045853	0.774696349
14.83537461	0.390052946	15.59554678	0.234458374	0.210461905	0.835438639
15.01077256	0.463163947	15.61157419	0.219627822	0.311686594	0.792407054
15.0437654	0.457115405	15.62007844	0.215875458	0.329175213	0.749871987
15.07548639	0.444883928	15.63359995	0.209318209	0.45921298	0.752658199
14.84953176	0.374932935	15.6058617	0.232473583	0.311892516	0.829445635
15.17246993	0.397924241	15.65770585	0.192586254	0.525736325	0.73173558
15.19545893	0.401086204	15.67117383	0.186354309	0.572707293	0.726772688
15.19020749	0.401414187	15.67156863	0.186402011	0.567791571	0.742482425
15.202537	0.402533048	15.68199314	0.180440864	0.592932732	0.737232664
15.18071249	0.399529011	15.66881588	0.188108579	0.548789793	0.727145885
15.08270569	0.378932269	15.65398853	0.204169101	0.495091061	0.783327166
15.18522561	0.386569284	15.67672454	0.186979377	0.622890951	0.755145825
15.17550839	0.388780262	15.68425621	0.188442384	0.551154559	0.736661709
15.22433845	0.403289078	15.68429429	0.182242053	0.648662348	0.732351284
15.22661121	0.400683277	15.68757753	0.180620064	0.649010666	0.728290466
15.23159473	0.397216121	15.68756803	0.183057983	0.655910008	0.707767309
15.21587854	0.396470669	15.67814989	0.190244326	0.600549756	0.692129696
15.19350837	0.406632631	15.66243715	0.198032642	0.607458343	0.755473015
14.99471985	0.353812079	15.63743923	0.217412274	0.46026104	0.800427369
15.20508523	0.292840059	15.69512812	0.184454675	0.558874604	0.694319316
15.09818847	0.250303142	15.65543557	0.201861888	0.491028842	0.799807829
15.28468639	0.286861239	15.70489761	0.172615657	0.734071335	0.763162792
15.2770472	0.286776942	15.69252806	0.178292736	0.707723157	0.74776245
15.27055224	0.28062742	15.68881833	0.180288769	0.702589785	0.731327036
15.25304407	0.272565097	15.67686047	0.183009218	0.692549032	0.726519731
15.24645492	0.269990257	15.66853326	0.185121399	0.68207012	0.717094067
15.21888921	0.25904814	15.65743578	0.193464823	0.615625532	0.715822498
15.13332469	0.23017864	15.6241055	0.212215394	0.526716285	0.782571922
15.27624662	0.268414445	15.67733525	0.183674641	0.763664308	0.775258519
